Title,Plot
Alexander,"The story begins 40 years after 323 BC, around 283 BC, with Ptolemy I Soter, who narrates throughout the film. Alexander grows up with his mother Olympias and his tutor Aristotle, where he finds interest in love, honor, music, exploration, poetry, and military combat. His relationship with his father is destroyed when Philip marries Attalus's niece, Eurydice. Alexander insults Philip after disowning Attalus as his kinsman, which results in Alexander's banishment from Philip's palace. After Philip is assassinated, Alexander becomes King of Macedonia. Ptolemy mentions Alexander's punitive campaign in which he razes Thebes and burns Persepolis, then gives an overview of Alexander's west-Persian campaign, including his declaration as the son of Zeus by the Oracle of Amun at Siwa Oasis, his great battle against the Persian Emperor Darius III in the Battle of Gaugamela, and his eight-year campaign across Asia. Also shown are Alexander's private relationships with his childhood friend Hephaistion, his lover Bagoas, and later his wife Roxana. Hephaistion compares Alexander to Achilles, to which Alexander replies that Hephaistion must be his Patroclus (Achilles' best friend and lover). When Hephaistion mentions that Patroclus died first, Alexander pledges that, if Hephaistion should die first, he will follow him into the afterlife. Hephaistion shows extensive jealousy when he sees Alexander with Roxana and deep sadness when he marries her, going so far as to attempt to keep her away from him after Alexander murders Cleitus the Black in India. After initial objection from his soldiers, Alexander convinces them to join him into his final and bloodiest battle, the Battle of Hydaspes. He is severely injured with an arrow but survives and is celebrated. Later on, Hephaistion succumbs to an unknown illness either by chance or perhaps poison, speculated in the movie to be typhus carried with him from India. Alexander, full of grief and anger, distances himself from his wife, despite her pregnancy, believing that she has killed Hephaistion. He dies less than three months after Hephaistion, in the same manner, keeping his promise that he would follow him. On his deathbed, Bagoas grieves as Alexander's generals begin to split up his kingdom and fight over the ownership of his body. The story then returns to 283 BC, where Ptolemy admits to his scribe that he, along with all the other officers, had indeed poisoned Alexander just to spare themselves from any future conquests or consequences. However, he has it recorded that Alexander died due to illness compounding his overall weakened condition. He then goes on to end his memoirs with praise to Alexander. The story then ends with the note that Ptolemy's memoirs of Alexander were eventually burned, lost forever with the Library of Alexandria."
Bounty Killer,"Two of the highest ranked bounty killers in the Thrice Burned Lands, Drifter (Matthew Marsden) and Mary Death (Christian Pitre) team up to exterminate a party full of yellow-tied corporate criminals. Drifter’s explosive killing style is in stark contrast to Mary’s graceful way of delivering death to white collar scum. Despite their difference in style, they exhibit level of comfort with one another that seems to indicate a long and dynamic history between these celebrity assassins. After the fight moves to a skyscraper’s rooftop, Drifter disposes of his intended target and saves Mary from falling to her death. The bounty killers ride into the bustling town of San Dalloosa, Drifter on his chopper, Mary in her signature cherry-topped death machine. They arrive at Daft Willy’s Chop Shop and Bounty Supply, a converted jet fuselage from the Corporate Wars where bounty killers exchange the bodies of slain targets for cash. A crowd has gathered at the entrance to welcome the heroes. Drifter doesn’t attract the same amount of attention from the paparazzi as Mary Death—how could he? She’s stunningly beautiful—a chiseled, unrepentant killer in thigh high boots. She greets her fans and the press, telling them “I never pull out before the big kill.” While Mary basks in her fans’ adoration, Drifter meets an exuberant gun caddy for hire named Jack LeMans (Barak Hardley). Drifter is not in the mood to hear Jack’s very enthusiastic offer of service, so he leaves him at the gate and heads on into Willy’s. Inside we meet the proprietor, Daft Willy (Kevin McNally). He’s a cantankerous English thug in a blood-soaked apron who will log your kills for the Council of Nine while delivering you a healthy, filth-laden dose of sass. Willy tells Drifter a new death warrant has been issued for their friend Snaggletooth Harry. Drifter’s distress over this revelation attracts the attention of Mary, who enters with a cart full of dead executives. She’s curious to know why he’d make such a big deal out of a small-time collar, telling him “He must be your snitch.” Just then, Jack springs out of Mary’s cart. Willy, Drifter and Mary all pull their guns. Jack pleads for one chance to prove he’s the world’s greatest gun caddy. Drifter decides to give him a shot, knowing he’ll probably be dead within a week anyway. After the bounty killers leave, Daft Willy receives a new death warrant on his Council-Comm printer. The look on his face tells us this isn’t your everyday warrant. Jack and Drifter practice tossing guns back and forth from Drifter’s chopper to Jack’s scooter. They’re on their way to Harry’s Whisky Saloon in Drip Rock to find out why he’s a wanted man. Meanwhile, Mary works on her Mustang’s rear differential which was overstressed by the massive pile of bodies she towed on her trailer. She fixes the car, kicks the trailer away and vows to her car, “No more attachments, just like mama.” At that moment, a tiny car approaches. Out pops Greg Gunney (Jeff Meacham), a sleazy salesman in a sport coat/turtleneck combo. He offers Mary a chance to “join the team” and use her celebrity to endorse his company, Wasteland Resorts—a subsidiary of Second Sun Enterprises, the mysterious company of yellow-ties Mary encountered at the loft party. Mary sees through Greg’s scheme and executes him and his bodyguard with her signature go-go boot spur-kick-to-the-throat move. Upon searching his car she finds a disturbing death warrant—it’s for Francis Gorman, aka “Drifter.” Back in Drip Rock, Drifter finds that Harry is dead, his body surrounded by copies of the Francis Gorman death warrant. It’s a trap. Mary arrives in Drip Rock and confronts Drifter about the poster. She’s furious that he lied to her. Drifter assures her there is some sort of mistake and he’s going to the Council building to work it all out. She won’t let him off that easy. “I’m going with you, and that’s not a request.” She fires her gun at Drifter which sends him flying out the second story window. Upon landing he’s attacked by several yellow-tied goons. He calls to Jack to grab the bikes. Though grossly outnumbered, the bounty killers eliminate their attackers while arguing about whether or not Mary gets to tag along to see the Council. Just as the last goon drops dead from his sniper post, Jack and Drifter haul ass out of town. Mary puts her hair up and struts to her Mustang. Outside the town, Mary fires at Drifter and Jack. Jack tells Drifter she won’t be a problem because he modified the car’s boosters while they were in Harry’s Saloon. Mary kicks on her boosters, sending the vehicle into a violent donut spin before bursting into flames. Jack: “That’s not supposed to happen.” Drifter looks back to a soot-covered Mary to make sure she’s alive. She looks back to Drifter with deep anger in her eyes. Back in Drip Rock, a slick Corvette stingray enters the town square, now littered with the bodies of several yellow ties. Behind the wheel is Van Sterling (Gary Busey), a high ranking executive at Second Sun. He questions one of the struggling henchmen and learns the bounty killers got away and are on their way to the Council. Van then answers a call on his briefcase video phone. He relays the information about the bounty killers to his boss, a severe business woman in yellow stilettos by the name of Catherine (Kristanna Loken). She encourages him to “finish the job” or she will have no choice but to terminate him. Van promises to track down the bounty killers and “keep the killing alive.” Later that night, Drifter explains to Jack that he’s a wanted criminal and that he should take off. Jack vows to stay. Suddenly, out of the darkness, Drifter is approached by a skull-faced assassin who holds a knife to his throat. This is a Gypsy. Drifter and Jack are tied to a pole in the middle of a rambunctious celebration at a Gypsy camp. Heavy drinking, fire dancing and other revelry surround the two prisoners. From the largest tent enters the Gypsy Queen, Mocha Sujata (Eve Jeffers). Mocha interrogates Drifter, wanting to know the location of Nuri, a Gypsy girl who escaped their camp many years ago. “She mentioned the name Drifter.” Mocha, not happy with Drifter’s refusal to give up any information, orders another Gypsy to burn him with her fire wands. Despite the extreme torture, Drifter keeps his mouth shut. Mocha calls off the interrogation for the night, leaving the prisoners alone. Drifter confesses to Jack that the Gypsies are looking for Mary. Jack doesn’t understand why Drifter would risk their lives for a woman who tried to kill them, but then realizes that Drifter must be in love with Mary. Drifter explains how he first met Mary many years ago when she lived her life as a Gypsy named Nuri. Nuri approached him while he was in the company of a prostitute Estelle (Mindy Robinson) and demanded he teach her how to be a bounty killer. While training her, they fell in love. But the relationship ended when Drifter suggested they get a place together and settle down. At daybreak, the Gypsies are all passed out from a hard night of knocking back pots of roach liquor. Drifter and Jack have cut themselves free from the pole. They climb atop a Gypsy coach (an Airstream trailer pulled by three motorcycles) and make their escape from the camp. Upon hearing the engines’ roar, the Gypsies awake and chase after their prisoners. A Western-style stagecoach scene unfolds when Jack and Drifter try to eliminate their pursuers. A bazooka finishes them off and allows the guys to ride off into the desert. Mary arrives at the Thirsty Beaver, the bounty killer training facility and tavern where she lived during her training with Drifter. Inside she finds the Beaver’s owner, Lucille (Beverly D’Angelo). Lucille helps Mary get cleaned up and back on the road with her old Gypsy bike. She makes sure Mary leaves with her chest-plate armor, telling her “Sometimes it pays for a girl to be practical.” Jack and Drifter pull the Gypsy coach up to a small shack in the middle of what appears to be a junkyard. Outside the shack is a Chevy Nova painted up in Pabst Blue Ribbon race car livery. Drifter tells Jack they need the help of the car’s driver, a coyote named Jimbo (Abraham Benrubi), who will help them get across the Badlands and over to the Council building. Jimbo tells the guys there’s too much risk and that he’s not willing to do the job no matter what price they’re willing to pay. Drifter convinces Jimbo by offering him a six-pack of Pabst Blue Ribbon, Jimbo’s favorite drink and a rarity in the post-apocalyptic world. Mary is lost in the Badlands, a war-torn city engulfed by a violent nuclear storm. She sees a beacon that leads her to Azimuth’s map shop. Inside she meets the mapmaker and pleads with him to help her find her way out of the Badlands and over to the Council building. He refuses to help her until he looks up and realizes she’s the famous Mary Death. He then offers to help in exchange for an autograph. Jimbo successfully makes his way through the Badlands in record time. To celebrate, he cracks open a can of Pabst. “Now I can die a happy man.” Just then Jimbo is shot in the arm by an unseen assailant. The car takes several more hits from a sniper in the hills while Drifter, Jack and Jimbo take cover. Drifter soon realizes the shooter is Mary. He convinces her to come down from the hill and talk it out. Mary points a gun at Drifter and tells him he’s a dead man. Jack has had enough. He loses it, exclaiming that he’s sick of all the guns and the Badlands and Gypsies trying to eat them. He tells Mary that Drifter was beaten to hell by the Gypsies but never gave her up because he loves her. He also points out that Mary could have easily shot Drifter, but she didn’t because she loves him. Mary drops her gun and agrees to let them use her map to get to the Council. The group arrives at the Council building and finds the village destroyed by an army of yellow-ties. Inside the Council chamber are the slain bodies of the Council judges. Drifter explains how he knew there must be something wrong. He knew the Council personally. In fact, he was offered a position to be the tenth judge but refused in order to become the first bounty killer. Mary is distraught by the Council’s death, but agrees they must go after those responsible—Second Sun. Just then our heroes are captured and surrounded by another group of yellow-ties including Van and Catherine, who we learn was once married to Drifter. Catherine explains her plan to pin the death of the Council on Mary Death so Second Sun can step in and promise a better life to the survivors of the Thrice Burned Lands. Just when we think all is lost both groups are attacked by Gypsies! During the fight, Jimbo is shot again but saved by Jack who hides him in the trunk of the Nova. Mary leaves Drifter to fight with Mocha. Then Jack leaves Drifter to fight with Van. Drifter is then knocked unconscious and taken aboard the Second Sun helicopter with Catherine. They fly away as the battle rages on. Mary kills Mocha, but is severely injured in the process. Mary awakes in a Gypsy tent to find Jack at her bedside. He tells her the Gypsies are now under her control because she killed their queen. They make a plan to free Drifter from Second Sun with the help of Mary’s new Gypsy army. Inside Second Sun we find Drifter shaven and wearing a suit. He’s tied to a chair in a glass office. Catherine enters and tells him she’d like to reinstate his position as CEO of Gorman Enterprises, now owned by Second Sun. She thinks his “Drifter” celebrity will inspire market confidence. “Run this company with me, Francis. It’s the only thing you’ve ever been good at.” Just then Mary and Jack burst into the office bullpen with their Gypsy army. They knock Catherine unconscious and rescue Drifter. Jack, now a quick and precise gun caddy, assists Drifter and Mary as they unleash their fury upon the employees of Second Sun. Just as they’re about to make their escape, Mary is shot down by Catherine. Drifter kills Catherine and runs to Mary’s lifeless body. He then realizes Mary is wearing a chest-plate. Jack and Drifter carry Mary to safety. Mary and Drifter spend two weeks naked in each other’s arms back at the Thirsty Beaver. Jimbo gives Jack his last can of Pabst to thank him for saving him from the Gypsies. Mary, now in a new black leather get-up, comes down the stairs and hops into her new cherry-topped death machine, a gift from Jack to make up for blowing up her old one. She tells Jack she’s off to do battle with another branch of Second Sun then hits the gas and takes off. Drifter runs out, stabbed again in the spleen by Mary. She looks to him in the rearview: “Come and get me, old man.”"
Tape,"The entire film is set inside a Lansing, Michigan motel room. Vince, a drug dealer/volunteer firefighter who lives in Oakland, California, rents the room in his hometown to support his old high school friend's entry into the Lansing Film Festival. His friend, documentary filmmaker Jon Salter, joins Vince in his motel room and the two reminisce about their high school years. At first, the two are happy to see one another, but friction soon develops. Eventually, they get on the subject of Amy, Vince's former girlfriend. It appears that, while they dated for some time, Vince and Amy never had sex. However, after or at the point when their relationship had ended, Amy slept with Jon. Vince claims Amy had told him that Jon had raped her. Vince becomes obsessed with, and eventually succeeds in getting a verbal confession from Jon. Immediately after Jon's admission, Vince pulls out a hidden tape recorder that had been recording their whole conversation, much to Jon's horror. Vince then tells Jon that he has invited Amy to dinner, and that she will be arriving shortly. Eventually Amy does arrive and, even though all three of them feel awkward, they begin to talk. Amy explains that she is now an assistant district attorney in the Lansing Justice Department. Eventually, the three discuss what actually happened between Jon and Amy that night at the party, 10 years in the past. Jon asks Amy's forgiveness for raping her, but Amy claims that the encounter was consensual, leading Jon to believe that she is in denial or is toying with him. After Jon becomes annoyed that Amy is refusing to accept his apology, Amy calls the police. She asks for a squad car to pick up one person in possession of drugs (Vince), and one in relation to a verifiable rape (Jon). After concluding her phone call, Amy warns the men that they only have about four minutes to make a run for it. In order to prove to Amy that he is truly remorseful, Jon decides to stay and wait for the police. Vince, realizing that there is nowhere for him to run, flushes his narcotics down the toilet and destroys the tape containing Jon's confession. Soon after, Amy reveals that she didn't really call the police and leaves."
Ulidavaru Kandanthe ,"Malpe is a small fishing town on the Arabian Coast, located 6 km to the west of the temple city, Udupi. Malpe's beaches are washed clean everyday by the sea. The waves ensure that nothing gets left behind on the sands. But the waves cannot reach everything.... It is the time of the year when Udupi and its surroundings are decked up to celebrate Sri Krishna Janmashtami. Men and children walk the streets dressed as characters from mythology. Teams painted as tigers are seen dancing to drum beats all around the town. But violence seems to be brewing in Malpe this Krishna Janmashtami. The movie revolves around five different people narrating their view of a murder incidence that took place during Sri Krishna Janmashtami."
Hoodwinked!,"Little Red Riding Hood (Anne Hathaway) discovers that the Big Bad Wolf (Patrick Warburton) has disguised himself as her grandmother. Granny (Glenn Close) jumps out of the closet tied up just as the axe-wielding woodsman (Jim Belushi) bursts through the window, startling everyone. The police quickly arrive, and Red, Wolf, Granny, and the Woodsman are questioned by Detective Nicky Flippers (David Ogden Stiers) about the events leading up to the incident. Red explains that she was delivering goodies for her grandmother when she discovered a threat from the mysterious Goodie Bandit. Hoping to save her Granny's recipes, she embarked upon a journey to take them to the top of a nearby mountain where her Granny lives. On her way, she encountered the Wolf, who asked her a series of suspicious questions. She managed to escape and eventually reached her Granny's house; however, she found the Wolf already waiting in ambush. What at first seems to be an open-and-shut case becomes confused though, once it is learned that the Wolf is an investigative reporter. He reveals that he was searching for a lead on the identity of the Goody Bandit and had reason to believe that Red and Granny were the culprits. Locating Red, he questioned her, hoping to get to the bottom of the mystery. When Red escaped, he headed for her Granny's house and arriving first, went undercover, hoping to trick her into giving him the evidence he needed. When questioned, the Woodsman, Kirk, reveals that he is in fact an aspiring actor who was only trying out for the part of a woodsman in a commercial. After his schnitzel truck was robbed by the Goody Bandit, he went out into the woods to get in character for his role and spent the rest of the day chopping trees. A large tree rolled after him and pushed him through the window of Granny's home. The investigation then turns to Granny, who reveals that, unbeknownst to her family, she is an extreme sports enthusiast. During a ski race earlier that day, she was attacked by the opposing team, but got away safely after learning that they were hired by the Goody Bandit. Despondent over her Granny's lack of honesty, Red wanders off alone. Meanwhile, Nicky Flippers realizes that the one commonality between all four stories is a bunny named Boingo (Andy Dick) and concludes that he is the Goody Bandit. However, Boingo has already sneaked into the home and stolen Granny's recipes. Red sees Boingo and follows him to his hideout at a cable car station, but the police pursue him in the wrong direction. Granny, the Wolf, and Kirk manage to locate Boingo as he is explaining his evil scheme to Red. Boingo plans to add an addictive substance to the stolen recipes and then destroy the forest, making way for new real estate for expanding his business. The Wolf and Kirk go undercover to distract Boingo as Granny sneaks into his lair, but open conflict ensues. Boingo sends a bound and gagged Red down the mountain in a cable car loaded with explosives and Granny goes after her, with Boingo and his henchmen in pursuit. Red manages to free herself, and escapes with Granny, while the police, who have been located by the Wolf's squirrel assistant Twitchy (Cory Edwards), are waiting at the bottom of the mountain to arrest Boingo and his henchmen. Some time later, Kirk finds success as part of a yodeling troupe, and Red, Granny, the Wolf, and Twitchy are enlisted by Nicky Flippers to join a crime solving organization called Happily Ever After Agency."
Poltergeist II: The Other Side,"One year after the Freeling house poltergeist intrusion, Cuesta Verde is being evacuated and turned into an archaeological paranormal dig centered around the spot where the Freelings' home stood before it imploded. The excavation leads to the discovery of an underground cave by a ground crew. Its existence is revealed to psychic Tangina Barrons (Zelda Rubinstein), who tells a friend of hers, Taylor (Will Sampson), a Native American shaman. After investigating the cave for himself, Taylor realizes that Rev. Henry Kane (Julian Beck), a deceased, insane preacher, has located Carol Anne and goes to defend her. The Freeling family—Steven (Craig T. Nelson), Diane (JoBeth Williams), Robbie (Oliver Robins), and Carol Anne (Heather O'Rourke)—has relocated to Phoenix, Arizona, and now live in a house with Diane's mother, ""Grandma Jess"" (Geraldine Fitzgerald). Having lost his real estate license, Steven is reduced to selling vacuum cleaners door-to-door while filing repeated insurance claims to cover the missing home. Grandma Jess is highly clairvoyant, and says that Diane and Carol Anne are clairvoyant as well. Grandma Jess later dies from natural causes, but not before telling Diane one last time that she'll always ""be there"" if she needs her. The fact that the spirits do not bother the family until Grandma Jess dies suggests that she was keeping them out, perhaps indirectly, with her powers. Taylor shows up as Kane begins his first assault on the home. Unable to get in through the television as the family has removed all television sets from the home, Kane's minions are forced to find another way in, this time through Carol Anne's toy telephone. The attack fails, and the family gets out of the house quickly. Taylor introduces himself and convinces them that running would be a waste of time since Kane would only find them again, and they return to the house, which Taylor has made safe for the time being. Kane himself shows up at the home one day in human form and demands to be let in, but Steven refuses. Taylor congratulates him for resisting Kane, and then takes Steven to the desert and gives him the ""Power of Smoke"", a Native spirit that can repel Kane. Tangina shows up at the house and helps Diane to understand Kane's history and how he became the Beast that is now stalking the family by forcing Diane to use her powers on a photograph. She also points out that Diane is unique in that she is one of the only few people on earth who have ever been to the spirit world while living, during the rescue of Carol Anne. It is revealed that Kane led his followers into the cave because he believed that the end of the world was coming, then left them to die after the date he predicted came and went. Because he was so evil, Kane became a monster after death. Taylor warns the family that Kane is extremely clever and will try to tear them apart. One night, Steven lets his guard down and gets drunk, swallowing a Mezcal worm that is possessed by Kane, who then temporarily possesses him. He attacks and tries to rape Diane, who cries out that she loves him. Steven then vomits up the worm possessed by Kane, which grows into a huge, tentacled monstrosity. In this form, Kane attacks Steven from the ceiling, but Steven uses the smoke spirit to send him away. The Beast then decides on another assault, and this time, the family decides to confront the Beast on his own turf, the Other Side. The Freelings return to Cuesta Verde and enter the cavern below their former home, where Kane pulls Diane and Carol Anne over into the Other Side. Steven and Robbie jump in after them through a fire started by Taylor. On the Other Side, Steven, Diane, Robbie, and Carol Anne unite, but Kane (now a horrifying, gigantic monster) grabs Carol Anne. Taylor gets a charmed Native spear into Steven's hands, and Steven stabs Kane with it, defeating the monster and causing him to fall into the afterlife. Carol Anne nearly crosses over into the afterlife as well, but Grandma Jess' spirit appears and returns her to the family. The Freelings then return safely and thank Taylor and Tangina. Steven gives the car to Taylor and Taylor drives away with Tangina. After the Freelings realize that they have no ride home, they run after the car."
Back from the Dead,"A happy vacation along California's rocky coast for a pregnant Mandy Anthony (Peggie Castle), her husband Dick (Arthur Franz) and her sister Kate Hazelton (Marsha Hunt) is ruined when Mandy has a seizure, loses consciousness and miscarries. Worse, when she awakens, she says that she is ""Felicia"" and calls Dick ""Dickens."" A stunned Dick tells an uncomprehending Kate that Felicia was his first wife and Dickens was her pet name for him - and that he's never told Mandy of his first marriage, Dickens or Felicia's death six years earlier! Felicia demands to visit the Bradleys, an elderly couple whom Dick says that Mandy doesn't know. They're Felicia's parents. She convinces them that she is indeed Felicia, back from the dead. Mrs. Bradley (Helen Wallace) is delighted; Mr. Bradley (James Bell) is horrified. Dick, upset by the reunion, tells Kate that Mrs. Bradley ""was a strange, evil woman - Felicia, too"" and that he was a fool to not face the truth. Meanwhile, Mr. Bradley says to Mrs. Bradley, ""God will punish you for this."" Mrs. Bradley contemptuously replies, ""You believe in your god. I'll believe in mine."" Dick invites his friends John Mitchell (Don Haggerty) and Molly Prentiss (Evelyn Scott) to the vacation house for cocktails. Afterwards, Felicia tries to gas Kate in her bedroom - Kate survives when Mandy's voice awakens her - then goes outside and kills their dog, Copper, who loved Mandy but hates Felicia. The next day, Kate is at John's house when neighbor Nancy Cordell (Marianne Stewart) drops by. She casually tells Kate that she and the Bradleys are members of Maître Renault's (Otto Reichow) devil cult, as was Felicia. Kate expresses an interest and Nancy arranges for Kate to meet Renault. Kate tells Renault that Mrs. Bradley has brought Felicia back. This angers Renault because, he says, Mrs. Bradley went behind his back. After Kate and Nancy leave, Renault gazes lovingly at a photo and murmurs, ""Now that you've returned, Felicia, I'll never let you go again."" He fails to notice that a jealous Nancy has stayed behind and is watching him. Mr. Bradley asks Kate to come see him. He tells her that he has left the devil cult and will help her bring Mandy back. But Mrs. Bradley threatens Kate, saying, ""There are secret ways of causing pain - pain that will end in death."" Kate is quite ill by the time she gets home, but John arrives and his feelings for Kate break Mrs. Bradley's curse. John tells Kate his secret shame - that he feels responsible for Felicia's death. After a party, he found her hiding in his car. They stopped near the cliffs overlooking the sea and quarreled. Felicia said that she'd kill herself if John didn't submit to her advances. An angry John told her that if she wanted to die, they were in a good place for it. Felicia got out and started backing toward the edge of the cliff. John tried to stop her but she fell to her death on the rocks below. The Bradley's housekeeper, Agnes (Jeanne Bates), calls Dick in a panic. Dick, Felicia and Kate rush to the Bradley's house, where they find them both dead. Mrs. Bradley had killed Mr. Bradley but then died from a spell cast on her by Renault. Dick and Kate take Felicia home and lock her in her room. But she escapes after convincing Kate that she's really Mandy and then knocking Kate unconscious. Felicia goes to Renault and tells him that they have to act quickly or Mandy will return and reclaim the body they're sharing. Nancy tells Dick, Kate and John that Renault will sacrifice Molly to keep Felicia alive. They all rush to Renault's to stop him. Dick and John wrestle a knife away from Renault but then Nancy, holding a pistol, yells at them to let Renault go. Nancy leads Renault outside and shoots him. Felicia has a seizure and the others take her home. When she awakens, she's Mandy again and thinks she's had an odd dream. Kate says that Mandy must never learn the truth about Felicia, while John asks rhetorically, ""Will anyone ever?"""
Murder at Covent Garden,A detective goes undercover and poses as a criminal to try to discover the reasons behind the murder of a night club owner.[2]
Gentlemen Marry Brunettes,"Bonnie and Connie Jones are showgirls, who are also sisters. They are sick and tired of New York as well as not getting anywhere. Quitting Broadway, the sisters decided to travel to Paris to become famous and find true love."
When My Baby Smiles at Me,Bonny Kane and 'Skid' Johnson are vaudeville performers in the 1920s. The two of them suffer marital difficulties when Skid gets an offer to appear on Broadway while Bonny gets left behind on the road. Things get worse with Skid's increasing drinking problem and the fact that the press has reported him to be spending a lot of time with his pretty co-star.
